Status,Alte URL,Neue URL (Hugo),Klicks,Impressionen,HTTP Code
FEHLT,https://kidslab.de/blog/t:Demokratie+in+Minecraft,,0,3,404
FEHLT,https://kidslab.de/media/pages/ideen/bastelanleitung-heisser-draht/f370bb9214-1753474310/4-schaltung-400x.jpg,,0,3,404
OK,https://kidslab.de/blog/calliope-als-corona-scanner-scanner/,/blog/calliope-als-corona-scanner-scanner/,0,2,200
OK,https://kidslab.de/blog/gamespreis-3-platz-ecosort,/blog/gamespreis-3-platz-ecosort/,0,2,200
REDIRECT,https://kidslab.de/ideen/scratch?print=1,/ideen/scratch/?print=1/,0,2,301
REDIRECT,https://kidslab.de/ideen?category=code-coenner,/ideen/?category=code-coenner/,0,2,301
OK,https://kidslab.de/ideen/calliope-einfuhrung,/ideen/calliope-einfuhrung/,0,2,200
OK,https://kidslab.de/kurse/online-programmieren-in-minecraft/,/kurse/online-programmieren-in-minecraft/,0,2,200
REDIRECT,https://kidslab.de/ideen/mcreator?print=1,/ideen/mcreator/?print=1/,0,2,301
OK,https://kidslab.de/kurse/ki-einfuhrung,/kurse/ki-einfuhrung/,0,2,200
OK,https://kidslab.de/blog/einsatz-von-tinkercad-und-3d-druck-im-unterricht/,/blog/einsatz-von-tinkercad-und-3d-druck-im-unterricht/,0,2,200
OK,https://kidslab.de/blog/gamespreis-bester-weltraum-survival-simulator-galactic-exploration,/blog/gamespreis-bester-weltraum-survival-simulator-galactic-exploration/,0,2,200
OK,https://kidslab.de/blog/vortrag-zu-minecraft-auf-dem-36c3/,/blog/vortrag-zu-minecraft-auf-dem-36c3/,0,2,200
OK,https://kidslab.de/ideen/spardose,/ideen/spardose/,0,2,200
FEHLT,https://kidslab.de/blog/t:Kurse,,0,2,404
OK,https://kidslab.de/blog/gamespreis-beste-graphic-novel-the-hidden-truth,/blog/gamespreis-beste-graphic-novel-the-hidden-truth/,0,2,200
FEHLT,https://kidslab.de/media/pages/ideen/bastelanleitung-heisser-draht/33ccd77677-1753474310/3-heisser-draht-400x.jpg,,0,2,404
REDIRECT,https://kidslab.de/ideen/dein-pokal-designen?print=1,/selber-machen/tinkercad-3d-design/dein-pokal-designen/,0,1,301
REDIRECT,https://kidslab.de/ideen/erstelle-ein-quiz?print=1,/ideen/erstelle-ein-quiz/?print=1/,0,1,301
OK,https://kidslab.de/ideen/schachspiel,/ideen/schachspiel/,0,1,200
FEHLT,https://kidslab.de/media/pages/blog/die-6-besten-programmiertools-fuer-kinder-jugendliche/f37e270ba6-1753474310/DALL--E-2023-10-27-17-33-06-Comic-style-illustration-of-a-group-of-diverse-kids-assembling-and-programming-a-Lego-Spike-robot-on-a-classroom-table.png,,0,1,404
OK,https://kidslab.de/blog/mario-kart-live-auf-dem-urlichsfest,/blog/mario-kart-live-auf-dem-urlichsfest/,0,1,200
FEHLT,https://kidslab.de/blog/t:Scratch,,0,1,404
OK,https://kidslab.de/blog/buerstibot-die-anleitung/,/blog/buerstibot-die-anleitung/,0,1,200
OK,https://kidslab.de/blog/gamespreis-bestes-vater-sohn-projekt-raumschiff-gegen-asteroiden,/blog/gamespreis-bestes-vater-sohn-projekt-raumschiff-gegen-asteroiden/,0,1,200
REDIRECT,https://kidslab.de/ideen/calliope-einfuhrung?print=1,/ideen/calliope-einfuhrung/?print=1/,0,1,301
OK,https://kidslab.de/blog/buerstibot-die-anleitung,/blog/buerstibot-die-anleitung/,0,1,200
OK,https://kidslab.de/blog/der-schwebende-ball,/blog/der-schwebende-ball/,0,1,200
REDIRECT,https://kidslab.de/ideen/lego-spike-einfuhrung?print=1,/selber-machen/lego-spike-mindstorms/,0,1,301
REDIRECT,https://kidslab.de/ideen/dein-pokal-designen,/selber-machen/tinkercad-3d-design/dein-pokal-designen/,0,1,301
REDIRECT,https://kidslab.de/ideen/swiftplayground?print=1,/ideen/swiftplayground/?print=1/,0,1,301
OK,https://kidslab.de/blog/gamespreis-bestes-god-mode-modern-gladiator,/blog/gamespreis-bestes-god-mode-modern-gladiator/,0,1,200
OK,https://kidslab.de/blog/lego-mindstorms,/blog/lego-mindstorms/,0,1,200
REDIRECT,https://kidslab.de/ideen/lego-zubehor,/selber-machen/lego-spike-mindstorms/,0,1,301
REDIRECT,https://kidslab.de/ideen/shitty-robots?print=1,/ideen/shitty-robots/?print=1/,0,1,301
OK,https://kidslab.de/blog/3d-druck-zum-valentinstag-oder-mutter-vatertag,/blog/3d-druck-zum-valentinstag-oder-mutter-vatertag/,0,1,200
OK,https://kidslab.de/blog/minecraft-keypad-die-wichtigsten-funktionen-mit-einem-knopfdruckt-wochenend-bastelprojekt,/blog/minecraft-keypad-die-wichtigsten-funktionen-mit-einem-knopfdruckt-wochenend-bastelprojekt/,0,1,200
FEHLT,https://kidslab.de/blog/page:3,,0,1,404
OK,https://kidslab.de/blog/zocken-fuer-die-zukunft-mit-minetest-digitale-zukunftswerkstaetten-gestalten,/blog/zocken-fuer-die-zukunft-mit-minetest-digitale-zukunftswerkstaetten-gestalten/,0,1,200
OK,https://kidslab.de/blog/mint-qualitaets-offensive,/blog/mint-qualitaets-offensive/,0,1,200
OK,https://kidslab.de/blog/vortrag-zum-thema-soziale-medien-und-datensicherheit-am-dossenberger-gymnasium,/blog/vortrag-zum-thema-soziale-medien-und-datensicherheit-am-dossenberger-gymnasium/,0,1,200
OK,https://kidslab.de/ideen/erstelle-ein-quiz,/ideen/erstelle-ein-quiz/,0,1,200
REDIRECT,https://kidslab.de/ideen?category=making-macher,/ideen/?category=making-macher/,0,1,301
FEHLT,https://kidslab.de/media/pages/blog/tinkercad/8b55992e07-1753474310/4-Cell-Classroom_2046x2046-copy.jpg,,0,1,404
FEHLT,https://kidslab.de/media/pages/blog/die-6-besten-programmiertools-fuer-kinder-jugendliche/26ff633e68-1753474310/cover.png,,0,1,404
FEHLT,https://kidslab.de/media/pages/blog/kahoot-quiz-mit-chatgpt-erstellen/1be3f82d1a-1753474310/ChatGPT-Kahoot-Ergebnis-1024x774.png,,0,1,404
FEHLT,https://kidslab.de/media/pages/ideen/ballon-auto/f6f442059d-1753474310/monosnap-create-a-balloon-powered-car-tinkercad-2025-05-28-19-41-48-800x.png,,0,1,404
FEHLT,https://kidslab.de/media/pages/blog/tinkercad/e3a4ce1239-1753474310/cover.jpg,,0,1,404
FEHLT,https://kidslab.de/media/pages/blog/tinkercad/42e321ef9d-1753474310/Fussballschuh-1024x768.jpg,,0,1,404
